prior_sd,BF,ROPE,interval_range
10,3.056516329132657,6,"[6, -6]"
10,2.8580854337942663,8,"[8, -8]"
10,2.631020489031368,10,"[10, -10]"
10,2.278875831624979,12,"[12, -12]"
10,2.258045718341485,14,"[14, -14]"
10,1.884756642325821,16,"[16, -16]"
10,1.5928278160201046,18,"[18, -18]"
10,1.3926943651034116,20,"[20, -20]"
10,0.9816582508091052,22,"[22, -22]"
10,0.7374550686677206,24,"[24, -24]"
10,0.5159307357122241,26,"[26, -26]"
10,0.3889885501937109,28,"[28, -28]"
10,0.2073352952068696,30,"[30, -30]"
10,0.17527664142822794,32,"[32, -32]"
10,0.08490080256801012,34,"[34, -34]"
10,0.1401712175389236,36,"[36, -36]"
10,0.08813231477646781,38,"[38, -38]"
10,0.01610852202502688,40,"[40, -40]"
15,3.1497308050903037,6,"[6, -6]"
15,2.6718550099362655,8,"[8, -8]"
15,2.346810286933641,10,"[10, -10]"
15,1.9143442522153884,12,"[12, -12]"
15,1.5666442812894357,14,"[14, -14]"
15,1.3181775832284923,16,"[16, -16]"
15,1.0679135029497318,18,"[18, -18]"
15,0.8129853770248887,20,"[20, -20]"
15,0.6622496943752973,22,"[22, -22]"
15,0.4437836557725184,24,"[24, -24]"
15,0.330980292306236,26,"[26, -26]"
15,0.23038592302461422,28,"[28, -28]"
15,0.14181105214061385,30,"[30, -30]"
15,0.09884229179448606,32,"[32, -32]"
15,0.06299978992450002,34,"[34, -34]"
15,0.04195115824427821,36,"[36, -36]"
15,0.02877000927504406,38,"[38, -38]"
15,0.01921266576451573,40,"[40, -40]"
20,2.7394689713479154,6,"[6, -6]"
20,2.364172794964756,8,"[8, -8]"
20,1.8989825012784198,10,"[10, -10]"
20,1.5280413186432331,12,"[12, -12]"
20,1.228218847904832,14,"[14, -14]"
20,1.006007527713349,16,"[16, -16]"
20,0.7852458425898696,18,"[18, -18]"
20,0.5942242134583744,20,"[20, -20]"
20,0.4401014974633457,22,"[22, -22]"
20,0.3136183076193085,24,"[24, -24]"
20,0.2175657344585213,26,"[26, -26]"
20,0.14256466357025188,28,"[28, -28]"
20,0.08877586390476343,30,"[30, -30]"
20,0.057212305795648774,32,"[32, -32]"
20,0.03527003640243831,34,"[34, -34]"
20,0.020425668483708134,36,"[36, -36]"
20,0.013761625866464039,38,"[38, -38]"
20,0.008145093142010156,40,"[40, -40]"
25,2.28901492071262,6,"[6, -6]"
25,1.9383944507178834,8,"[8, -8]"
25,1.519136893836685,10,"[10, -10]"
25,1.219751639358129,12,"[12, -12]"
25,0.9280828226988341,14,"[14, -14]"
25,0.758292452524482,16,"[16, -16]"
25,0.6066329490216179,18,"[18, -18]"
25,0.44681893514021803,20,"[20, -20]"
25,0.33392050402215634,22,"[22, -22]"
25,0.23552523604694944,24,"[24, -24]"
25,0.15424403263025965,26,"[26, -26]"
25,0.10905869652061793,28,"[28, -28]"
25,0.06735025177938507,30,"[30, -30]"
25,0.040828509991628494,32,"[32, -32]"
25,0.02598372987708774,34,"[34, -34]"
25,0.014805109337962703,36,"[36, -36]"
25,0.010074437385937093,38,"[38, -38]"
25,0.005570879596699269,40,"[40, -40]"
30,2.0778029969146634,6,"[6, -6]"
30,1.6744814664218222,8,"[8, -8]"
30,1.3110622288962293,10,"[10, -10]"
30,1.0369505860974173,12,"[12, -12]"
30,0.7832869238771273,14,"[14, -14]"
30,0.6280378015838369,16,"[16, -16]"
30,0.4713828335723729,18,"[18, -18]"
30,0.36030987862806046,20,"[20, -20]"
30,0.2686687113998706,22,"[22, -22]"
30,0.19588471049791772,24,"[24, -24]"
30,0.1315096446867368,26,"[26, -26]"
30,0.086792986604064,28,"[28, -28]"
30,0.0514741807813946,30,"[30, -30]"
30,0.03289309224299808,32,"[32, -32]"
30,0.01966486228230216,34,"[34, -34]"
30,0.012506037148243554,36,"[36, -36]"
30,0.007681079492461469,38,"[38, -38]"
30,0.0044489252943814344,40,"[40, -40]"
